application_for,open_date_year,response_rate_met,ballots_in_favour,ballots_opposed,ballots_returned,ballots_distributed,poll_result
Front Yard Parking,2017,Yes,29,2,31,54,In Favour
Front Yard Parking,2017,Yes,13,8,21,54,Opposed
Traffic Calming,2017,No,303,161,464,1258,Response Rate Not Met
Traffic Calming,2017,Yes,14,3,17,31,In Favour
Traffic Calming,2017,Yes,27,7,34,67,In Favour
Front Yard Parking,2017,Yes,20,7,27,129,In Favour
Boulevard Cafe,2017,No,5,1,6,39,Response Rate Not Met
Appeal - Front Yard Parking,2017,Yes,27,12,39,119,In Favour
Boulevard Cafe,2017,Yes,14,29,43,117,Opposed
Boulevard Cafe,2017,Yes,8,3,11,26,In Favour
Boulevard Cafe,2017,Yes,16,5,21,93,In Favour
Boulevard Cafe,2017,No,4,18,22,137,Response Rate Not Met
Boulevard Cafe,2017,Yes,9,0,9,27,In Favour
Traffic Calming,2017,Yes,88,40,128,279,In Favour
Boulevard Cafe,2017,No,6,0,6,57,Response Rate Not Met
Traffic Calming,2017,Yes,78,24,102,187,In Favour
Boulevard Cafe,2017,Yes,20,15,35,81,In Favour
Boulevard Cafe,2017,No,1,7,8,39,Response Rate Not Met
Traffic Calming,2017,No,75,21,96,265,Response Rate Not Met
Traffic Calming,2017,No,22,8,30,107,Response Rate Not Met
Traffic Calming,2017,No,44,7,51,120,Response Rate Not Met
Appeal - Front Yard Parking,2017,Yes,18,34,52,129,Opposed
Appeal - Front Yard Parking,2017,Yes,17,33,50,129,Opposed
Appeal - Front Yard Parking,2017,Yes,16,12,28,76,Opposed
Boulevard Cafe,2017,No,2,1,3,226,Response Rate Not Met
Boulevard Cafe,2017,No,5,9,14,114,Response Rate Not Met
Traffic Calming,2017,No,7,7,14,55,Response Rate Not Met
Front Yard Parking,2017,Yes,29,0,29,40,In Favour
Front Yard Parking,2017,Yes,17,9,26,45,In Favour
Permit Parking,2017,Yes,8,24,32,58,Opposed
Traffic Calming,2017,No,1,0,1,4,Response Rate Not Met
Permit Parking,2017,Yes,4,13,17,62,Opposed
Front Yard Parking,2017,Yes,8,30,38,68,Opposed
Traffic Calming,2017,Yes,71,26,97,188,In Favour
Traffic Calming,2017,No,66,11,77,198,Response Rate Not Met
Traffic Calming,2017,No,51,18,69,223,Response Rate Not Met
Traffic Calming,2017,Yes,44,7,51,109,In Favour
Boulevard Cafe,2017,Yes,23,8,31,98,In Favour
Traffic Calming,2017,No,18,7,25,55,Response Rate Not Met
Traffic Calming,2017,No,9,1,10,25,Response Rate Not Met
Traffic Calming,2017,Yes,20,3,23,42,In Favour
Traffic Calming,2017,Yes,25,3,28,41,In Favour
Front Yard Parking,2017,Yes,37,0,37,78,In Favour
Front Yard Parking,2017,Yes,17,5,22,57,In Favour
Front Yard Parking,2017,Yes,13,6,19,86,Opposed
Appeal - Front Yard Parking,2017,Yes,14,2,16,19,In Favour
Traffic Calming,2017,No,26,22,48,180,Response Rate Not Met
Permit Parking,2017,No,60,9,69,555,Response Rate Not Met
Front Yard Parking,2017,Yes,26,0,26,43,In Favour
Front Yard Parking,2017,Yes,32,9,41,124,In Favour
Appeal - Front Yard Parking,2017,Yes,27,1,28,96,In Favour
Appeal - Front Yard Parking,2017,Yes,19,38,57,146,Opposed
Appeal - Front Yard Parking,2017,Yes,42,10,52,127,In Favour
Appeal - Front Yard Parking,2017,Yes,39,5,44,70,In Favour
Appeal - Front Yard Parking,2017,Yes,15,14,29,73,Opposed
Appeal - Front Yard Parking,2017,Yes,16,19,35,83,Opposed
Proposed Business Improvement Area,2017,Yes,12,3,15,19,In Favour
Front Yard Parking,2017,Yes,12,2,14,50,In Favour
Boulevard Cafe,2017,No,5,28,33,160,Response Rate Not Met
Front Yard Parking,2017,Yes,29,1,30,62,In Favour
Front Yard Parking,2017,Yes,29,13,42,88,In Favour
Permit Parking,2017,No,0,6,6,54,Response Rate Not Met
Boulevard Cafe,2017,Yes,16,10,26,108,Opposed
Traffic Calming,2017,Yes,12,19,31,69,Opposed
Traffic Calming,2017,No,28,8,36,117,Response Rate Not Met
Front Yard Parking,2017,Yes,24,1,25,59,In Favour
Front Yard Parking,2017,Yes,33,2,35,90,In Favour
Traffic Calming – Island,2017,Yes,71,60,131,275,Opposed
Traffic Calming – Island,2017,Yes,81,141,222,396,Opposed
Boulevard Cafe,2017,No,1,1,2,32,Response Rate Not Met
Front Yard Parking,2017,Yes,13,11,24,70,In Favour
Appeal - Front Yard Parking,2017,Yes,7,24,31,71,Opposed
Appeal - Front Yard Parking,2017,Yes,25,1,26,56,In Favour
Front Yard Parking,2017,Yes,27,1,28,74,In Favour
Traffic Calming,2017,Yes,31,21,52,77,Opposed
Appeal - Front Yard Parking,2017,Yes,61,9,70,150,In Favour
Front Yard Parking,2017,Yes,16,1,17,45,In Favour
Traffic Calming,2017,No,21,0,21,402,Response Rate Not Met
Traffic Calming,2017,Yes,19,6,25,73,Opposed
Traffic Calming,2017,No,36,33,69,165,Response Rate Not Met
Traffic Calming,2017,Yes,14,3,17,42,In Favour
Business Improvement Area,2017,Yes,43,10,53,129,In Favour
Traffic Calming,2017,No,97,25,122,327,Response Rate Not Met
Front Yard Parking,2017,Yes,5,6,11,13,Opposed
Front Yard Parking,2017,Yes,38,8,46,100,In Favour
Traffic Calming,2017,No,29,23,52,121,Response Rate Not Met
Permit Parking,2017,Yes,16,6,22,89,In Favour
Boulevard Cafe,2017,Yes,14,3,17,67,In Favour
Boulevard Cafe,2017,No,39,1,40,218,Response Rate Not Met
Appeal - Front Yard Parking,2017,Yes,30,16,46,129,In Favour
Appeal - Front Yard Parking,2017,Yes,29,14,43,129,In Favour
Traffic Calming,2017,Yes,37,9,46,92,In Favour
Traffic Calming,2017,No,119,37,156,387,Response Rate Not Met
Traffic Calming,2017,Yes,43,11,54,75,In Favour
Traffic Calming,2017,Yes,32,23,55,115,Opposed
Traffic Calming,2017,Yes,18,15,33,65,Opposed
Boulevard Cafe,2017,Yes,30,7,37,154,In Favour
Front Yard Parking,2017,Yes,69,2,71,113,In Favour
Appeal - Front Yard Parking,2017,Yes,6,13,19,60,Opposed
Boulevard Cafe,2017,Yes,17,6,23,92,In Favour
Appeal - Front Yard Parking,2017,Yes,17,5,22,74,In Favour
Traffic Calming,2017,Yes,56,11,67,125,In Favour
Traffic Calming,2017,No,45,8,53,113,Response Rate Not Met
Traffic Calming,2017,Yes,34,24,58,107,Opposed
Traffic Calming,2017,No,3,0,3,10,Response Rate Not Met
Traffic Calming,2017,Yes,29,23,52,73,Opposed
Front Yard Parking,2017,No,5,0,5,28,Response Rate Not Met
Front Yard Parking,2017,Yes,45,0,45,79,In Favour
Traffic Calming,2017,No,43,16,59,235,Response Rate Not Met
Traffic Calming,2017,No,36,7,43,206,Response Rate Not Met
Traffic Calming,2017,Yes,17,12,29,89,Opposed
Traffic Calming,2017,Yes,43,11,54,95,In Favour
Front Yard Parking,2017,Yes,8,21,29,50,Opposed
Appeal - Front Yard Parking,2017,Yes,34,1,35,83,In Favour
Traffic Calming,2017,No,2,1,3,11,Response Rate Not Met
Traffic Calming,2017,No,9,0,9,42,Response Rate Not Met
Traffic Calming,2017,Yes,34,0,34,49,In Favour
Front Yard Parking,2017,Yes,36,2,38,92,In Favour
Front Yard Parking,2017,Yes,9,0,9,13,In Favour
Front Yard Parking,2017,Yes,38,5,43,98,In Favour
Appeal - Front Yard Parking,2017,Yes,29,6,35,145,In Favour
Boulevard Cafe,2017,Yes,12,4,16,54,In Favour
Appeal - Front Yard Parking,2018,Yes,30,5,35,151,In Favour
Appeal - Front Yard Parking,2018,Yes,46,2,48,96,In Favour
Front Yard Parking,2018,Yes,30,0,30,46,In Favour
Boulevard Cafe,2018,Yes,11,8,19,105,Opposed
Appeal - Front Yard Parking,2018,Yes,24,1,25,81,In Favour
Appeal - Front Yard Parking,2018,No,12,0,12,53,Response Rate Not Met
Front Yard Parking,2018,Yes,33,1,34,73,In Favour
Front Yard Parking,2018,Yes,26,3,29,68,In Favour
Front Yard Parking,2018,Yes,32,2,34,79,In Favour
Front Yard Parking,2018,Yes,19,0,19,30,In Favour
Permit Parking,2018,Yes,34,64,98,397,Opposed
Permit Parking,2018,No,3,17,20,178,Response Rate Not Met
Permit Parking,2018,No,8,32,40,264,Response Rate Not Met
Front Yard Parking,2018,Yes,33,0,33,64,In Favour
Front Yard Parking,2018,Yes,23,0,23,49,In Favour
Front Yard Parking,2018,Yes,21,0,21,56,In Favour
Appeal - Front Yard Parking,2018,Yes,21,15,36,56,In Favour
Appeal - Front Yard Parking,2018,Yes,24,0,24,73,In Favour
Appeal - Front Yard Parking,2018,Yes,37,5,42,62,In Favour
Appeal - Front Yard Parking,2018,No,22,9,31,165,Response Rate Not Met
Appeal - Front Yard Parking,2018,Yes,42,0,42,151,In Favour
Boulevard Cafe,2018,Yes,26,5,31,51,In Favour
Traffic Calming,2018,No,18,7,25,71,Response Rate Not Met
Traffic Calming,2018,No,15,14,29,119,Response Rate Not Met
Appeal - Front Yard Parking,2018,Yes,12,14,26,60,Opposed
Appeal - Front Yard Parking,2018,Yes,23,23,46,185,Opposed
Traffic Calming,2018,Yes,43,4,47,82,In Favour
Front Yard Parking,2018,Yes,14,3,17,38,In Favour
Front Yard Parking,2018,No,15,0,15,88,Response Rate Not Met
Traffic Calming,2018,No,61,12,73,616,Response Rate Not Met
Permit Parking,2018,No,13,8,21,95,Response Rate Not Met
Permit Parking,2018,Yes,23,33,56,234,Opposed
Traffic Calming,2018,Yes,31,5,36,69,In Favour
Traffic Calming,2018,Yes,96,21,117,192,In Favour
Appeal - Front Yard Parking,2018,Yes,31,4,35,62,In Favour
Appeal - Front Yard Parking,2018,Yes,31,3,34,62,In Favour
Appeal - Front Yard Parking,2018,Yes,11,0,11,11,In Favour
Appeal - Front Yard Parking,2018,Yes,43,8,51,76,In Favour
Appeal - Front Yard Parking,2018,Yes,42,12,54,106,In Favour
Appeal - Front Yard Parking,2018,Yes,13,0,13,13,In Favour
Front Yard Parking,2018,Yes,29,0,29,76,In Favour
Front Yard Parking,2018,Yes,33,4,37,107,In Favour
Front Yard Parking,2018,Yes,27,0,27,59,In Favour
Front Yard Parking,2018,Yes,24,5,29,46,In Favour
Front Yard Parking,2018,Yes,56,2,58,125,In Favour
Front Yard Parking,2018,Yes,39,0,39,71,In Favour
Proposed Business Improvement Area,2018,Yes,7,0,7,20,In Favour
Appeal - Front Yard Parking,2018,Yes,25,3,28,67,In Favour
Front Yard Parking,2018,Yes,14,17,31,78,Opposed
Appeal - Front Yard Parking,2018,Yes,23,23,46,106,Opposed
Appeal - Front Yard Parking,2018,Yes,13,30,43,84,Opposed
Appeal - Front Yard Parking,2018,Yes,37,0,37,59,In Favour
Front Yard Parking,2018,Yes,86,1,87,200,In Favour
Front Yard Parking,2018,Yes,33,4,37,183,In Favour
Front Yard Parking,2018,Yes,29,3,32,75,In Favour
Front Yard Parking,2018,Yes,28,0,28,128,In Favour
Traffic Calming,2018,No,53,50,103,343,Response Rate Not Met
Appeal - Front Yard Parking,2018,No,5,1,6,35,Response Rate Not Met
Traffic Calming,2018,No,51,54,105,335,Response Rate Not Met
Boulevard Cafe,2018,No,10,2,12,135,Response Rate Not Met
Permit Parking,2018,Yes,11,0,11,19,In Favour
Front Yard Parking,2018,Yes,28,0,28,58,In Favour
Front Yard Parking,2018,Yes,48,6,54,104,In Favour
Appeal - Front Yard Parking,2018,No,4,0,4,21,Response Rate Not Met
Appeal - Front Yard Parking,2018,Yes,8,1,9,42,In Favour
Front Yard Parking,2018,Yes,9,0,9,43,In Favour
Commercial Boulevard Parking,2018,Yes,11,8,19,63,In Favour
Traffic Calming,2018,Yes,23,10,33,55,In Favour
Appeal - Front Yard Parking,2018,Yes,28,15,43,86,In Favour
Front Yard Parking,2018,Yes,34,5,39,103,In Favour
Front Yard Parking,2018,Yes,43,5,48,104,In Favour
Traffic Calming,2018,Yes,107,16,123,202,In Favour
Appeal - Front Yard Parking,2018,Yes,22,1,23,75,In Favour
Appeal - Front Yard Parking,2018,Yes,31,0,31,64,In Favour
Boulevard Cafe,2018,No,20,9,29,184,Response Rate Not Met
Front Yard Parking,2018,Yes,8,0,8,16,In Favour
Traffic Calming,2018,Yes,72,14,86,136,In Favour
Appeal - Front Yard Parking,2018,Yes,32,0,32,56,In Favour
Front Yard Parking,2018,Yes,33,0,33,85,In Favour
Traffic Calming,2018,No,46,15,61,199,Response Rate Not Met
Appeal - Front Yard Parking,2018,Yes,23,27,50,75,Opposed
Appeal - Front Yard Parking,2018,Yes,31,2,33,74,In Favour
Front Yard Parking,2018,Yes,67,1,68,131,In Favour
Front Yard Parking,2018,Yes,31,6,37,145,Opposed
Traffic Calming,2018,Yes,49,4,53,104,In Favour
Traffic Calming,2018,Yes,74,15,89,157,In Favour
Boulevard Cafe,2018,Yes,40,3,43,159,In Favour
Boulevard Cafe,2018,No,12,10,22,204,Response Rate Not Met
Front Yard Parking,2018,Yes,31,0,31,55,In Favour
Front Yard Parking,2018,Yes,23,2,25,84,In Favour
Traffic Calming,2018,Yes,77,20,97,196,In Favour
Front Yard Parking,2018,Yes,16,11,27,60,In Favour
Front Yard Parking,2018,Yes,43,5,48,95,In Favour
Front Yard Parking,2018,Yes,28,2,30,64,In Favour
Front Yard Parking,2018,Yes,28,0,28,63,In Favour
Traffic Calming,2018,Yes,37,52,89,154,Opposed
Traffic Calming,2018,Yes,100,24,124,277,In Favour
Traffic Calming,2018,No,45,15,60,157,Response Rate Not Met
Traffic Calming,2018,No,0,0,0,3,Response Rate Not Met
Permit Parking,2018,Yes,46,9,55,94,In Favour
Front Yard Parking,2018,Yes,48,1,49,115,In Favour
Front Yard Parking,2018,Yes,35,3,38,84,In Favour
Boulevard Cafe,2018,No,15,13,28,323,Response Rate Not Met
Front Yard Parking,2018,Yes,33,1,34,76,In Favour
Front Yard Parking,2018,Yes,14,9,23,90,Opposed
Front Yard Parking,2018,Yes,35,0,35,92,In Favour
Front Yard Parking,2018,Yes,38,5,43,99,In Favour
Front Yard Parking,2018,Yes,39,1,40,117,In Favour
Boulevard Cafe,2018,Yes,5,35,40,66,Opposed
Boulevard Cafe,2018,No,19,3,22,154,Response Rate Not Met
Front Yard Parking,2018,Yes,40,4,44,112,In Favour
Boulevard Cafe,2018,Yes,38,3,41,125,In Favour
Front Yard Parking,2018,Yes,47,3,50,85,In Favour
Traffic Calming,2018,Yes,10,0,10,17,In Favour
Front Yard Parking,2018,Yes,46,0,46,117,In Favour
Front Yard Parking,2018,Yes,18,4,22,54,In Favour
Appeal - Front Yard Parking,2018,Yes,15,10,25,55,In Favour
Traffic Calming,2018,Yes,60,46,106,198,Opposed
Traffic Calming,2018,No,23,5,28,86,Response Rate Not Met
Traffic Calming,2018,No,51,10,61,204,Response Rate Not Met
Front Yard Parking,2018,Yes,35,8,43,86,In Favour
Front Yard Parking,2018,Yes,13,2,15,30,In Favour
Boulevard Cafe,2018,No,8,5,13,89,Response Rate Not Met
Traffic Calming,2018,Yes,39,7,46,80,In Favour
Traffic Calming,2018,No,148,41,189,878,Response Rate Not Met
Traffic Calming,2018,No,25,6,31,122,Response Rate Not Met
Traffic Calming,2018,Yes,125,30,155,282,In Favour
Traffic Calming,2018,No,137,22,159,652,Response Rate Not Met
Boulevard Cafe,2018,Yes,4,8,12,76,Opposed
Traffic Calming,2018,No,8,0,8,20,Response Rate Not Met
Traffic Calming,2018,No,28,5,33,73,Response Rate Not Met
Boulevard Cafe,2018,Yes,4,13,17,66,Opposed
Front Yard Parking,2018,Yes,19,16,35,53,Opposed
Front Yard Parking,2018,Yes,11,6,17,58,In Favour
Front Yard Parking,2018,Yes,28,0,28,100,In Favour
Appeal - Front Yard Parking,2018,Yes,26,0,26,67,In Favour
Boulevard Cafe,2018,No,18,10,28,219,Response Rate Not Met
Traffic Calming,2018,No,31,10,41,143,Response Rate Not Met
Business Improvement Area,2018,Yes,104,9,113,302,In Favour
Front Yard Parking,2018,Yes,40,1,41,111,In Favour
Front Yard Parking,2018,Yes,26,0,26,68,In Favour
Boulevard Cafe,2018,No,20,4,24,255,Response Rate Not Met
Traffic Calming,2018,No,60,10,70,254,Response Rate Not Met
Permit Parking,2018,Yes,44,23,67,164,In Favour
Boulevard Cafe,2018,Yes,13,2,15,62,In Favour
Front Yard Parking,2018,Yes,34,11,45,169,In Favour
Front Yard Parking,2018,Yes,21,0,21,42,In Favour
Front Yard Parking,2018,Yes,24,4,28,78,In Favour
Permit Parking,2018,Yes,18,4,22,54,In Favour
Permit Parking,2018,Yes,49,13,62,214,In Favour
Traffic Calming,2018,Yes,160,133,293,526,Opposed
Traffic Calming,2018,Yes,64,12,76,128,In Favour
Front Yard Parking,2018,Yes,38,0,38,121,In Favour
Front Yard Parking,2018,Yes,35,2,37,68,In Favour
Boulevard Cafe,2018,Yes,18,10,28,83,In Favour
Boulevard Cafe,2018,Yes,19,6,25,74,In Favour
Commercial Boulevard Parking,2018,Yes,2,6,8,18,Opposed
Front Yard Parking,2018,Yes,59,3,62,83,In Favour
Front Yard Parking,2018,Yes,30,1,31,59,In Favour
Front Yard Parking,2018,Yes,33,7,40,74,In Favour
Front Yard Parking,2018,Yes,22,7,29,68,In Favour
Front Yard Parking,2018,Yes,29,9,38,75,In Favour
Front Yard Parking,2018,Yes,10,1,11,16,In Favour
Front Yard Parking,2018,Yes,16,0,16,35,In Favour
Front Yard Parking,2018,Yes,31,8,39,97,In Favour
Front Yard Parking,2018,Yes,20,1,21,60,In Favour
Traffic Calming,2018,No,18,11,29,108,Response Rate Not Met
Traffic Calming,2018,No,0,0,0,5,Response Rate Not Met
Permit Parking,2018,Yes,8,16,24,56,Opposed
Front Yard Parking,2018,Yes,16,6,22,68,In Favour
Front Yard Parking,2018,Yes,25,13,38,90,In Favour
Front Yard Parking,2018,Yes,23,2,25,81,In Favour
Boulevard Cafe,2019,Yes,20,0,20,34,In Favour
Front Yard Parking,2019,Yes,30,0,30,61,In Favour
Commercial Boulevard Parking,2019,Yes,4,9,13,31,Opposed
Front Yard Parking,2019,Yes,21,0,21,49,In Favour
Commercial Boulevard Parking,2019,Yes,4,0,4,9,In Favour
Permit Parking,2019,Yes,21,13,34,80,In Favour
Front Yard Parking,2019,Yes,22,0,22,55,In Favour
Front Yard Parking,2019,Yes,41,0,41,106,In Favour
Front Yard Parking,2019,Yes,9,3,12,31,In Favour
Traffic Calming,2019,Yes,52,8,60,122,In Favour
Traffic Calming,2019,No,8,4,12,58,Response Rate Not Met
Front Yard Parking,2019,Yes,42,0,42,80,In Favour
Traffic Calming,2019,Yes,33,3,36,44,In Favour
Traffic Calming,2019,Yes,14,17,31,59,Opposed
Front Yard Parking,2019,Yes,55,2,57,92,In Favour
Front Yard Parking,2019,Yes,20,1,21,36,In Favour
Boulevard Cafe,2019,No,9,12,21,148,Response Rate Not Met
Boulevard Cafe,2019,Yes,2,25,27,69,Opposed
Boulevard Cafe,2019,Yes,18,28,46,152,Opposed
Boulevard Cafe,2019,No,100,151,251,1878,Response Rate Not Met
Traffic Calming,2019,Yes,197,68,265,539,In Favour
Traffic Calming,2019,Yes,79,42,121,202,In Favour
Traffic Calming,2019,Yes,61,50,111,221,Opposed
Front Yard Parking,2019,Yes,9,2,11,19,In Favour
Front Yard Parking,2019,Yes,42,0,42,74,In Favour
Front Yard Parking,2019,Yes,40,10,50,105,In Favour
Front Yard Parking,2019,Yes,16,0,16,34,In Favour
Front Yard Parking,2019,Yes,19,4,23,47,In Favour
Boulevard Cafe,2019,Yes,23,16,39,137,In Favour
Traffic Calming,2019,No,81,22,103,369,Response Rate Not Met
Traffic Calming,2019,No,67,66,133,539,Response Rate Not Met
Front Yard Parking,2019,Yes,21,0,21,56,In Favour
Front Yard Parking,2019,Yes,45,4,49,79,In Favour
Front Yard Parking,2019,Yes,28,3,31,63,In Favour
Boulevard Cafe,2019,Yes,16,1,17,46,In Favour
Boulevard Cafe,2019,Yes,7,38,45,92,Opposed
Traffic Calming,2019,No,82,28,110,711,Response Rate Not Met
Front Yard Parking,2019,Yes,14,2,16,40,In Favour
Front Yard Parking,2019,Yes,27,6,33,52,In Favour
Permit Parking,2019,Yes,29,34,63,134,Opposed
Boulevard Cafe,2019,Yes,31,1,32,96,In Favour
Boulevard Cafe,2019,Yes,30,14,44,128,In Favour
Front Yard Parking,2019,Yes,41,6,47,101,In Favour
Front Yard Parking,2019,No,17,9,26,129,Response Rate Not Met
Front Yard Parking,2019,Yes,34,2,36,131,In Favour
Front Yard Parking,2019,Yes,30,5,35,62,In Favour
Traffic Calming,2019,No,15,11,26,96,Response Rate Not Met
Traffic Calming,2019,No,75,13,88,272,Response Rate Not Met
Front Yard Parking,2019,Yes,23,1,24,113,In Favour
Business Improvement Area,2019,Yes,16,1,17,56,In Favour
Front Yard Parking,2019,Yes,55,2,57,140,In Favour
Front Yard Parking,2019,Yes,25,5,30,68,In Favour
Front Yard Parking,2019,Yes,14,5,19,41,In Favour
Boulevard Cafe,2019,Yes,25,5,30,159,In Favour
Traffic Calming,2019,Yes,40,12,52,95,In Favour
Traffic Calming,2019,Yes,73,36,109,187,In Favour
Traffic Calming,2019,Yes,112,35,147,211,In Favour
Front Yard Parking,2019,Yes,48,5,53,155,In Favour
Permit Parking,2019,Yes,17,42,59,137,Opposed
Boulevard Cafe,2019,Yes,31,12,43,113,In Favour
Boulevard Cafe,2019,No,6,20,26,128,Response Rate Not Met
Boulevard Cafe,2019,Yes,15,3,18,67,In Favour
Front Yard Parking,2019,Yes,55,11,66,136,In Favour
Traffic Calming,2019,No,9,16,25,53,Response Rate Not Met
Front Yard Parking,2019,Yes,50,11,61,145,In Favour
Front Yard Parking,2019,Yes,25,3,28,63,In Favour
Front Yard Parking,2019,Yes,17,10,27,35,In Favour
Front Yard Parking,2019,Yes,31,0,31,60,In Favour
Front Yard Parking,2019,No,18,6,24,197,Response Rate Not Met
Front Yard Parking,2019,Yes,38,0,38,94,In Favour
Front Yard Parking,2019,Yes,30,13,43,102,In Favour
Traffic Calming,2019,Yes,60,13,73,167,In Favour
Commercial Boulevard Parking,2019,Yes,14,4,18,46,In Favour
Traffic Calming,2019,No,35,7,42,138,Response Rate Not Met
Traffic Calming,2019,No,53,13,66,204,Response Rate Not Met
Traffic Calming,2019,No,47,32,79,391,Response Rate Not Met
Permit Parking,2019,Yes,27,11,38,78,In Favour
Boulevard Cafe,2019,Yes,21,2,23,70,In Favour
Front Yard Parking,2019,Yes,11,1,12,20,In Favour
Front Yard Parking,2019,Yes,15,0,15,30,In Favour
Boulevard Cafe,2019,Yes,14,18,32,67,Opposed
Boulevard Cafe,2019,Yes,2,17,19,61,Opposed
Permit Parking,2019,Yes,7,4,11,48,In Favour
Front Yard Parking,2019,Yes,40,0,40,84,In Favour
Permit Parking,2019,Yes,7,0,7,22,In Favour
Permit Parking,2019,Yes,30,5,35,100,In Favour
Permit Parking,2019,Yes,0,0,0,2,Opposed
Permit Parking,2019,Yes,30,16,46,150,In Favour
Permit Parking,2019,Yes,13,8,21,45,In Favour
Permit Parking,2019,Yes,11,1,12,46,In Favour
Permit Parking,2019,Yes,17,10,27,59,In Favour
Permit Parking,2019,No,30,20,50,281,Response Rate Not Met
Boulevard Cafe,2019,Yes,24,2,26,47,In Favour
Boulevard Cafe,2019,Yes,8,21,29,126,Opposed
Permit Parking,2019,No,4,0,4,41,Response Rate Not Met
Permit Parking,2019,Yes,11,63,74,177,Opposed
Traffic Calming,2019,No,125,27,152,651,Response Rate Not Met
Front Yard Parking,2019,Yes,36,0,36,127,In Favour
Permit Parking,2019,Yes,18,13,31,68,In Favour
Boulevard Cafe,2019,Yes,7,11,18,27,Opposed
Front Yard Parking,2019,Yes,43,0,43,95,In Favour
Traffic Calming Safety Zone,2020,No,42,57,99,482,Response Rate Not Met
Traffic Calming,2019,Yes,64,14,78,138,In Favour
Traffic Calming,2019,No,37,7,44,235,Response Rate Not Met
Front Yard Parking,2019,Yes,54,3,57,99,In Favour
Boulevard Cafe,2019,Yes,8,14,22,95,Opposed
Traffic Calming,2019,No,46,6,52,141,Response Rate Not Met
Traffic Calming,2019,Yes,12,22,34,86,Opposed
Traffic Calming,2019,Yes,58,35,93,188,Opposed
Traffic Calming,2019,Yes,22,26,48,76,Opposed
Traffic Calming,2019,Yes,32,5,37,72,In Favour
Traffic Calming,2019,Yes,42,38,80,148,Opposed
Front Yard Parking,2019,Yes,13,0,13,35,In Favour
Front Yard Parking,2019,Yes,53,2,55,127,In Favour
Front Yard Parking,2019,Yes,33,0,33,62,In Favour
Boulevard Cafe,2019,Yes,13,1,14,60,In Favour
Traffic Calming,2019,Yes,51,5,56,115,In Favour
Traffic Calming,2019,Yes,54,14,68,132,In Favour
Front Yard Parking,2019,Yes,68,0,68,133,In Favour
Front Yard Parking,2019,Yes,18,7,25,57,In Favour
Permit Parking,2019,Yes,1,10,11,26,Opposed
Permit Parking,2019,Yes,37,12,49,96,In Favour
Traffic Calming,2019,No,24,0,24,74,Response Rate Not Met
Front Yard Parking,2019,Yes,34,6,40,106,In Favour
Front Yard Parking,2019,Yes,25,19,44,97,In Favour
Permit Parking,2019,Yes,24,19,43,127,In Favour
Appeal - Front Yard Parking,2020,Yes,19,4,23,51,In Favour
Permit Parking,2019,Yes,43,44,87,150,Opposed
Front Yard Parking,2020,Yes,40,4,44,78,In Favour
Front Yard Parking,2020,Yes,41,1,42,77,In Favour
Front Yard Parking,2020,Yes,14,1,15,85,In Favour
Front Yard Parking,2020,Yes,7,9,16,23,Opposed
Front Yard Parking,2020,Yes,7,9,16,23,Opposed
Business Improvement Area,2020,Yes,75,7,82,175,In Favour
Traffic Calming,2020,Yes,33,6,39,80,In Favour
Front Yard Parking,2020,Yes,32,1,33,56,In Favour
Front Yard Parking,2020,Yes,49,2,51,106,In Favour
Permit Parking,2020,Yes,42,32,74,141,In Favour
Traffic Calming Safety Zone,2020,Yes,12,5,17,43,In Favour
Permit Parking,2020,Yes,0,13,13,36,Opposed
Front Yard Parking,2020,Yes,40,5,45,107,In Favour
Permit Parking,2020,Yes,21,9,30,130,In Favour
Traffic Calming Safety Zone,2020,Yes,80,33,113,376,In Favour
Traffic Calming,2020,Yes,32,6,38,72,In Favour
Front Yard Parking,2020,Yes,35,4,39,113,In Favour
Front Yard Parking,2020,Yes,29,4,33,96,In Favour
Front Yard Parking,2020,Yes,27,8,35,41,In Favour
Front Yard Parking,2020,Yes,33,1,34,99,In Favour
Permit Parking,2020,Yes,2,16,18,52,Opposed
Permit Parking,2020,Yes,32,31,63,114,Opposed
Front Yard Parking,2020,Yes,25,11,36,91,In Favour
Front Yard Parking,2020,Yes,27,12,39,104,In Favour
Front Yard Parking,2020,Yes,7,0,7,30,In Favour
Permit Parking Removal,2020,Yes,14,33,47,166,Opposed
Permit Parking Removal,2020,Yes,10,12,22,72,Opposed
Permit Parking Removal,2020,Yes,11,27,38,65,Opposed
Permit Parking Removal,2020,Yes,14,7,21,63,In Favour
Permit Parking Removal,2020,No,11,0,11,105,Response Rate Not Met
Permit Parking Removal,2020,Yes,7,15,22,41,Opposed
Front Yard Parking,2020,Yes,41,10,51,97,In Favour
Permit Parking Removal,2020,Yes,165,40,205,539,In Favour
Permit Parking Removal,2021,Yes,12,1,13,72,In Favour
Permit Parking Removal,2021,Yes,7,1,8,31,In Favour
Permit Parking Removal,2021,No,33,15,48,458,Response Rate Not Met
Permit Parking Removal,2021,Yes,65,22,87,216,In Favour
Permit Parking Removal,2020,Yes,8,6,14,53,Opposed
Permit Parking Removal,2020,Yes,10,5,15,48,In Favour
Permit Parking Removal,2020,Yes,42,33,75,192,Opposed
Permit Parking Removal,2020,Yes,20,22,42,105,Opposed
Permit Parking Removal,2020,Yes,20,16,36,83,Opposed
